Issuer Name,Symbol,Reason,news_title,news_link,news_abstract,pos_sentiment_score,neg_sentiment_score,sentiment_label
"BSB Bancorp, Inc.",BLMT,Acquisition/Merger,"BSB Bancorp, Inc. Reports 2017 Results - Year Over Year Earnings Growth of 20% - PR Newswire",https://www.prnewswire.com/news-releases/bsb-bancorp-inc-reports-2017-results--year-over-year-earnings-growth-of-20-300596023.html,"BELMONT, Mass., Feb. 8, 2018 /PRNewswire/ -- BSB Bancorp, Inc. (NASDAQ-BLMT) (the ""Company""), the holding company for Belmont Savings Bank (the ...",0.4381875030357414,0.5618124969642586,Negative
"BSB Bancorp, Inc.",BLMT,Acquisition/Merger,"Bragar Eagel & Squire, P.C. Reminds Investors that it is Investigating the Boards of Directors of Hamilton, BSB Bancorp, Tribune Media, and Sparton on Behalf of Stockholders and Encourages Investors to Contact the Firm",https://globenewswire.com//news-release/2019/02/10/1716286/0/en/Bragar-Eagel-Squire-P-C-Reminds-Investors-that-it-is-Investigating-the-Boards-of-Directors-of-Hamilton-BSB-Bancorp-Tribune-Media-and-Sparton-on-Behalf-of-Stockholders-and-Encourage.html,"NEW YORK, Feb.  10, 2019  (GLOBE NEWSWIRE) -- Bragar Eagel & Squire, P.C. reminds investors that it is investigating potential claims on behalf of stockholders of Hamilton Bancorp, Inc., BSB...",0.32752175981108345,0.6724782401889166,Negative
"Blue Hills Bancorp, Inc.",BHBK,Acquisition/Merger,Utilitywise plc No return to Shareholders - DirectorsTalk Interviews,https://www.directorstalkinterviews.com/utilitywise-plc-no-return-to-shareholders/412767199,"Utilitywise plc (LON: UTW) have announced today that, further to the Company's announcement of 13 February 2019, Andrew James Johnson and Chad Griffin,",0.4337142290042094,0.5662857709957906,Negative
"Blue Hills Bancorp, Inc.",BHBK,Acquisition/Merger,"Independent Bank Corp. and Blue Hills Bancorp, Inc. Report Receipt of Regulatory Approvals and Anticipated Closing Date",https://globenewswire.com//news-release/2019/03/26/1768482/0/en/Independent-Bank-Corp-and-Blue-Hills-Bancorp-Inc-Report-Receipt-of-Regulatory-Approvals-and-Anticipated-Closing-Date.html,"ROCKLAND, Mass. and NORWOOD, Mass., March  26, 2019  (GLOBE NEWSWIRE) -- Independent Bank Corp. (NASDAQ: INDB) (“Independent”), parent of Rockland Trust Company, and Blue Hills Bancorp, Inc. (NASDAQ:...",0.4666527936207992,0.5333472063792009,Negative
Elbit Imaging Ltd.,EMITF,Regulatory/Non Compliance,ELBIT IMAGING ANNOUNCES SUSPENSION OF TRADING OF ITS ORDINARY SHARES ON NASDAQ - GlobeNewswire,https://globenewswire.com/news-release/2019/02/07/1713713/0/en/ELBIT-IMAGING-ANNOUNCES-SUSPENSION-OF-TRADING-OF-ITS-ORDINARY-SHARES-ON-NASDAQ.html,"Tel Aviv, Israel, Feb. 07, 2019 (GLOBE NEWSWIRE) -- Elbit Imaging Ltd. (“EI” or the “Company”) (TASE, NASDAQ: EMITF) announced today that it received a ...",0.32573559197281304,0.6742644080271869,Negative
Elbit Imaging Ltd.,EMITF,Regulatory/Non Compliance,"ELBIT IMAGING ANNOUNCES UPDATE REGARDING THE AGREEMENT TO SELL ITS PROJECT IN KOCHI, INDIA",https://globenewswire.com//news-release/2019/04/01/1790871/0/en/ELBIT-IMAGING-ANNOUNCES-UPDATE-REGARDING-THE-AGREEMENT-TO-SELL-ITS-PROJECT-IN-KOCHI-INDIA.html,"Tel Aviv, Israel, April  01, 2019  (GLOBE NEWSWIRE) -- Elbit Imaging Ltd. (“EI” or the “Company”) (TASE, NASDAQ: EMITF) announced today, further to its press release dated January 8,2019, that the...",0.5114056067728185,0.48859439322718146,Positive
Gabelli NextShares Trust,FOANC,Liquidation,Utilitywise plc No return to Shareholders - DirectorsTalk Interviews,https://www.directorstalkinterviews.com/utilitywise-plc-no-return-to-shareholders/412767199,"Utilitywise plc (LON: UTW) have announced today that, further to the Company's announcement of 13 February 2019, Andrew James Johnson and Chad Griffin,",0.4337142290042094,0.5662857709957906,Negative
Gabelli NextShares Trust,GRBIC,Liquidation,Utilitywise plc No return to Shareholders - DirectorsTalk Interviews,https://www.directorstalkinterviews.com/utilitywise-plc-no-return-to-shareholders/412767199,"Utilitywise plc (LON: UTW) have announced today that, further to the Company's announcement of 13 February 2019, Andrew James Johnson and Chad Griffin,",0.4337142290042094,0.5662857709957906,Negative
Gabelli NextShares Trust,MOGLC,Liquidation,Utilitywise plc No return to Shareholders - DirectorsTalk Interviews,https://www.directorstalkinterviews.com/utilitywise-plc-no-return-to-shareholders/412767199,"Utilitywise plc (LON: UTW) have announced today that, further to the Company's announcement of 13 February 2019, Andrew James Johnson and Chad Griffin,",0.4337142290042094,0.5662857709957906,Negative
Gabelli NextShares Trust,PETZC,Liquidation,Utilitywise plc No return to Shareholders - DirectorsTalk Interviews,https://www.directorstalkinterviews.com/utilitywise-plc-no-return-to-shareholders/412767199,"Utilitywise plc (LON: UTW) have announced today that, further to the Company's announcement of 13 February 2019, Andrew James Johnson and Chad Griffin,",0.4337142290042094,0.5662857709957906,Negative
